id;company_rating;company_location;total_fleet_count;iata_approved
13796;100%;Kiribati;2.0;t
42114;100%;Sao Tome and Principe;3.0;t
29049;;Zimbabwe;1.0;f
8555;100%;Guernsey;1.0;t
28032;;France;1.0;t
36452;100%;Pakistan;1.0;f
44099;100%;Reunion;1.0;f
13926;;Niger;1.0;t
20214;100%;Sao Tome and Principe;1.0;f
13381;40%;Guinea;1.0;f
42832;;Denmark;2.0;f
12764;;Finland;1.0;t
12916;;;9.0;t
46575;100%;Isle of Man;1.0;f
15306;;Barbados;8.0;t
31859;100%;Maldives;2.0;f
20692;100%;Marshall Islands;7.0;t
4795;100%;Malta;1.0;f
30537;100%;Tonga;3.0;t
45855;100%;;1.0;f
35147;95%;Mauritania;5.0;t
35321;100%;Russian Federation;2.0;t
3652;100%;Guinea;2.0;t
15604;100%;Russian Federation;2.0;t
23644;100%;Mauritania;4.0;t
26909;100%;Lebanon;1.0;t
2771;80%;Niue;1.0;f
36905;100%;Senegal;1.0;t
48372;100%;Barbados;12.0;t
6492;100%;Marshall Islands;1.0;f
1597;100%;;1.0;f
4242;67%;Ecuador;1.0;t
38864;;Uganda;1.0;f
40326;33%;;1.0;f
27965;100%;Faroe Islands;3.0;f
46456;0%;Monaco;1.0;f
26562;;;1.0;f
16247;100%;Slovakia (Slovak Republic);3.0;f
19032;67%;Russian Federation;4.0;f
1952;100%;Denmark;2.0;t
21495;;Estonia;1.0;t
16247;100%;Slovakia (Slovak Republic);3.0;f
36279;;Christmas Island;1.0;t
22168;;Kenya;1.0;f
5570;100%;Finland;1.0;t
20736;100%;Russian Federation;3.0;t
43515;100%;Uruguay;1.0;f
32290;0%;;1.0;f
41956;;Lebanon;1.0;t
33906;80%;Marshall Islands;1.0;f
23133;;Rwanda;1.0;t
5698;100%;Cape Verde;1.0;t
464;;Gibraltar;1.0;f
49323;100%;Croatia;2.0;t
18899;;Bosnia and Herzegovina;1.0;f
20242;100%;Croatia;1.0;f
599;;El Salvador;2.0;f
11781;100%;Guinea;2.0;t
36599;;Lebanon;1.0;f
39533;;Rwanda;1.0;t
9447;100%;Grenada;1.0;f
41760;;Uzbekistan;1.0;f
24038;67%;Tanzania;1.0;t
32063;100%;Niue;2.0;t
44947;100%;Malta;1.0;t
49938;100%;Anguilla;1.0;f
2926;86%;Niue;1.0;f
45976;83%;Brazil;1.0;f
21120;100%;Kiribati;2.0;t
43109;80%;Russian Federation;1.0;t
20697;90%;Lebanon;1.0;t
992;0%;Croatia;2.0;f
9736;50%;Congo;2.0;t
50009;0%;Niue;1.0;f
5991;;Lebanon;3.0;t
33462;100%;Nicaragua;1.0;t
14016;;Turkmenistan;3.0;t
30628;100%;Marshall Islands;1.0;f
11884;100%;Zimbabwe;1.0;t
8662;100%;Croatia;2.0;t
23614;100%;Ecuador;4.0;t
9261;100%;Tonga;1.0;f
41244;100%;Guernsey;3.0;t
16422;100%;Russian Federation;6.0;f
14240;100%;Chile;3.0;t
41697;100%;Bahrain;1.0;f
20450;;Vanuatu;1.0;f
15854;100%;Marshall Islands;1.0;f
14191;100%;Slovakia (Slovak Republic);1.0;f
36823;100%;Russian Federation;2.0;t
36548;;Uzbekistan;1.0;t
25038;100%;Bouvet Island (Bouvetoya);1.0;f
49186;100%;Isle of Man;1.0;f
26832;;;1.0;t
49323;100%;Croatia;2.0;t
4231;100%;Guinea;1.0;t
23044;100%;Fiji;2.0;t
8238;91%;Barbados;15.0;t
42077;100%;Philippines;2.0;t
14369;;Micronesia;2.0;t
40973;90%;Uzbekistan;1.0;t
23812;;;2.0;t
37577;100%;Lebanon;3.0;t
29642;100%;Costa Rica;1.0;t
28781;;Anguilla;2.0;f
37646;100%;Estonia;60.0;f
17967;100%;El Salvador;2.0;f
15391;90%;Niger;2.0;t
21019;;Niue;1.0;t
36139;;Montserrat;2.0;f
30801;100%;Mauritania;2.0;t
14240;100%;Chile;3.0;t
39395;100%;Mauritania;3.0;t
40007;100%;Marshall Islands;1.0;f
37392;100%;Micronesia;7.0;t
674;100%;Gibraltar;4.0;f
18410;100%;Russian Federation;1.0;t
16661;100%;Russian Federation;2.0;t
2145;67%;Faroe Islands;3.0;t
28201;100%;Kenya;1.0;f
45585;100%;Denmark;1.0;f
18765;100%;Bosnia and Herzegovina;1.0;t
21202;;Mauritania;1.0;f
27589;80%;Estonia;1.0;f
30065;;Russian Federation;1.0;t
23044;100%;Fiji;2.0;t
2977;;Reunion;2.0;f
8023;;Isle of Man;1.0;t
22680;;Sao Tome and Principe;1.0;f
19875;90%;Kenya;1.0;f
9011;100%;Russian Federation;1.0;f
42965;100%;Uzbekistan;11.0;t
26524;100%;Guinea;2.0;t
41815;;Russian Federation;1.0;f
35807;100%;Sao Tome and Principe;2.0;f
13525;100%;Nauru;1.0;f
29563;100%;Jersey;2.0;f
22568;100%;Malta;1.0;t
20736;100%;Russian Federation;3.0;t
29112;100%;Chad;2.0;f
30801;100%;Mauritania;2.0;t
40842;100%;Mexico;1.0;f
794;100%;Indonesia;1.0;f
21596;100%;Guinea;1.0;t
283;100%;United Kingdom;1.0;t
20847;100%;Bouvet Island (Bouvetoya);2.0;t
14602;100%;Malawi;1.0;t
20736;100%;Russian Federation;3.0;t
27556;;Russian Federation;1.0;f
13504;100%;Ukraine;3.0;f
13585;;Rwanda;2.0;f
37646;100%;Estonia;60.0;f
36336;100%;Jersey;1.0;f
49491;100%;;1.0;t
23663;100%;Philippines;1.0;t
10211;100%;Mauritania;1.0;f
13504;100%;Ukraine;3.0;f
36732;;China;1.0;t
45546;100%;Cape Verde;19.0;t
42201;;United Kingdom;1.0;f
23644;100%;Mauritania;4.0;t
1536;100%;Grenada;2.0;f
37646;100%;Estonia;60.0;f
39713;100%;Denmark;4.0;f
48832;;Lebanon;1.0;f
1592;;Tonga;1.0;f
29590;;;1.0;f
23891;90%;Zimbabwe;3.0;t
36484;100%;Bouvet Island (Bouvetoya);1.0;f
19579;100%;Kenya;2.0;f
6518;100%;Uzbekistan;1.0;f
15814;100%;Brazil;4.0;f
13692;100%;Uganda;1.0;f
10947;;Bosnia and Herzegovina;1.0;f
2097;100%;Guernsey;1.0;t
32603;83%;Nicaragua;4.0;t
38131;100%;Antarctica (the territory South of 60 deg S);3.0;t
41093;100%;Tunisia;2.0;t
20345;0%;Niue;1.0;f
13585;;Rwanda;2.0;f
3329;;Uzbekistan;4.0;f
12401;100%;Rwanda;2.0;f
40954;0%;Uganda;1.0;f
30509;;Gambia;1.0;f
41093;100%;Tunisia;2.0;t
9829;70%;Nauru;1.0;f
25988;100%;Russian Federation;2.0;f
23614;100%;Ecuador;4.0;t
14616;50%;Marshall Islands;1.0;t
24425;100%;Mauritania;2.0;t
12401;100%;Rwanda;2.0;f
32476;100%;French Guiana;1.0;t
10204;100%;Nicaragua;5.0;t
45546;100%;Cape Verde;19.0;t
17703;100%;Marshall Islands;1.0;f
42375;;Kenya;1.0;f
38363;100%;Uganda;1.0;t
29648;;Guinea;1.0;t
19576;100%;Micronesia;2.0;t
42686;;;1.0;t
8930;;Turkmenistan;2.0;t
293;100%;Lebanon;1.0;f
9042;57%;Russian Federation;2.0;f
36853;100%;Guinea;1.0;f
44853;100%;Lebanon;2.0;f
25856;;Vanuatu;4.0;t
14210;100%;Finland;1.0;f
45741;100%;Uzbekistan;6.0;t
9029;;Andorra;2.0;t
4038;;Micronesia;1.0;t
28458;100%;Turkmenistan;6.0;f
24088;;Russian Federation;1.0;t
9708;;Lebanon;2.0;t
49956;;Russian Federation;1.0;f
24133;100%;Cuba;1.0;t
46586;100%;Bosnia and Herzegovina;12.0;f
46586;100%;Bosnia and Herzegovina;12.0;f
46586;100%;Bosnia and Herzegovina;12.0;f
46586;100%;Bosnia and Herzegovina;12.0;f
46586;100%;Bosnia and Herzegovina;12.0;f
20550;;Tanzania;1.0;f
10680;;Anguilla;2.0;f
42897;;Brazil;1.0;f
4237;33%;Holy See (Vatican City State);1.0;f
23322;100%;French Guiana;2.0;t
20829;;Anguilla;1.0;t
13720;;Bouvet Island (Bouvetoya);3.0;t
10392;;Chad;1.0;f
42288;;;1.0;f
23215;100%;Djibouti;2.0;f
17993;100%;Zimbabwe;1.0;t
2717;;Uzbekistan;3.0;f
19033;25%;Zimbabwe;1.0;f
7676;;Russian Federation;1.0;f
28911;;;1.0;f
42458;97%;Indonesia;14.0;t
6396;100%;Indonesia;1.0;t
37718;;Barbados;1.0;t
39724;86%;Sao Tome and Principe;2.0;f
21591;100%;Kiribati;1.0;t
21229;100%;Pakistan;10.0;t
21229;100%;Pakistan;10.0;t
21229;100%;Pakistan;10.0;t
21229;100%;Pakistan;10.0;t
21229;100%;Pakistan;10.0;t
21229;100%;Pakistan;10.0;t
21229;100%;Pakistan;10.0;t
21229;100%;Pakistan;10.0;t
21229;100%;Pakistan;10.0;t
40281;100%;;3.0;f
32659;100%;Cuba;1.0;t
11428;;Kenya;1.0;f
10204;100%;Nicaragua;5.0;t
11616;100%;Uzbekistan;12.0;t
30107;100%;Venezuela;2.0;t
36659;100%;Anguilla;2.0;t
9754;100%;Brazil;6.0;f
34610;;Gambia;2.0;f
7240;100%;;1.0;t
20343;;Togo;4.0;f
46586;100%;Bosnia and Herzegovina;12.0;f
13796;100%;Kiribati;2.0;t
5203;;Grenada;1.0;t
31686;100%;Finland;1.0;t
16130;100%;Ghana;3.0;t
8654;100%;Christmas Island;3.0;f
25615;75%;French Polynesia;1.0;t
32383;100%;Marshall Islands;1.0;f
34784;60%;Faroe Islands;19.0;t
18105;100%;Gambia;7.0;t
34234;0%;Zimbabwe;2.0;t
26099;99%;Reunion;15.0;f
8605;90%;Estonia;4.0;t
47708;;Bosnia and Herzegovina;1.0;f
38347;100%;El Salvador;1.0;f
14971;;Estonia;1.0;f
42458;97%;Indonesia;14.0;t
48535;100%;El Salvador;2.0;f
46667;100%;United Kingdom;1.0;f
14372;0%;Ecuador;1.0;t
31602;;French Guiana;1.0;t
7411;;;1.0;f
19521;100%;United Kingdom;3.0;t
20542;80%;Kenya;7.0;t
20542;80%;Kenya;7.0;t
43862;;Chile;1.0;t
37392;100%;Micronesia;7.0;t
11048;;Bosnia and Herzegovina;1.0;t
1499;100%;Tonga;2.0;t
12004;100%;;1.0;f
10954;100%;Uganda;2.0;f
16083;100%;Guinea;2.0;f
18944;80%;Indonesia;2.0;f
36985;100%;Kiribati;7.0;t
36985;100%;Kiribati;7.0;t
3902;100%;Papua New Guinea;3.0;t
19300;;Costa Rica;1.0;f
36411;100%;Brazil;3.0;f
36411;100%;Brazil;3.0;f
36411;100%;Brazil;3.0;f
6896;;Barbados;2.0;t
10818;;Cape Verde;1.0;f
7;;Puerto Rico;1.0;f
15164;100%;Tanzania;2.0;t
23891;90%;Zimbabwe;3.0;t
40632;;Puerto Rico;1.0;f
42754;;Gambia;1.0;f
17306;92%;Micronesia;4.0;t
9207;;Marshall Islands;2.0;t
17306;92%;Micronesia;4.0;t
7175;100%;Zimbabwe;1.0;t
263;;Anguilla;1.0;f
9833;;;1.0;f
15164;100%;Tanzania;2.0;t
12046;;;1.0;t
17682;100%;Niue;1.0;f
34538;;Togo;1.0;f
47295;100%;Niue;1.0;t
12752;;Zimbabwe;2.0;f
21191;;Nauru;1.0;f
44495;;Gambia;1.0;f
44446;100%;Costa Rica;3.0;t
15472;100%;Niue;2.0;t
34782;90%;Libyan Arab Jamahiriya;1.0;t
26099;99%;Reunion;15.0;f
2042;90%;Gambia;7.0;f
2042;90%;Gambia;7.0;f
23614;100%;Ecuador;4.0;t
24190;;Jersey;1.0;t
39809;100%;Costa Rica;1.0;t
40832;;Faroe Islands;2.0;f
40832;;Faroe Islands;2.0;f
38751;;Greenland;1.0;f
3866;100%;Indonesia;8.0;t
17609;;;1.0;t
21341;80%;Tonga;1.0;f
45161;100%;Togo;2.0;t
8238;91%;Barbados;15.0;t
42901;75%;Lebanon;1.0;t
1420;100%;Afghanistan;2.0;f
21318;100%;Russian Federation;2.0;t
4221;;Niue;1.0;f
4086;;French Guiana;1.0;f
37803;100%;Guinea;1.0;f
1747;;Gambia;1.0;t
674;100%;Gibraltar;4.0;f
20542;80%;Kenya;7.0;t
20542;80%;Kenya;7.0;t
16095;85%;Isle of Man;2.0;t
31379;100%;France;5.0;t
34203;100%;Uzbekistan;2.0;t
14369;;Micronesia;2.0;t
30216;98%;Maldives;34.0;f
40235;;Guinea;1.0;t
49609;100%;Niue;3.0;t
29112;100%;Chad;2.0;f
1566;;Kiribati;1.0;f
34259;100%;Sao Tome and Principe;2.0;t
3131;100%;Tanzania;3.0;f
8442;100%;Tunisia;2.0;t
45987;100%;Jersey;6.0;t
425;;;1.0;f
1594;;Lebanon;1.0;f
46896;100%;Zimbabwe;1.0;t
6546;80%;Bouvet Island (Bouvetoya);1.0;f
26172;;Rwanda;1.0;f
47385;100%;Cape Verde;2.0;t
7759;;Palestinian Territory;1.0;f
41880;;China;2.0;f
17490;;Gambia;1.0;f
13269;100%;Anguilla;3.0;f
13269;100%;Anguilla;3.0;f
39724;86%;Sao Tome and Principe;2.0;f
38426;100%;Turks and Caicos Islands;1.0;f
50052;100%;Finland;1.0;t
34126;100%;French Guiana;1.0;t
19648;;;1.0;f
1890;;Isle of Man;1.0;f
3777;100%;Kiribati;1.0;t
14340;100%;Isle of Man;5.0;t
47152;;Isle of Man;2.0;f
40390;100%;Marshall Islands;2.0;t
20417;;;1.0;f
19289;;Senegal;2.0;t
34259;100%;Sao Tome and Principe;2.0;t
4708;;Uzbekistan;1.0;t
6053;;Sao Tome and Principe;1.0;t
34610;;Gambia;2.0;f
1706;;;1.0;f
3080;100%;Lithuania;2.0;t
23402;;Zimbabwe;1.0;f
24389;100%;;2.0;t
24389;100%;;2.0;t
46789;;Jersey;1.0;t
27555;;United Kingdom;1.0;f
21457;100%;Russian Federation;4.0;t
38689;100%;United Kingdom;6.0;t
32419;;Greenland;2.0;f
48874;100%;Somalia;4.0;t
37343;75%;Ecuador;4.0;t
41382;100%;Kiribati;1.0;f
17725;;;1.0;f
12436;100%;Uganda;1.0;f
34107;;Costa Rica;1.0;f
45741;100%;Uzbekistan;6.0;t
2452;;French Guiana;1.0;t
10950;100%;Greenland;1.0;f
11644;100%;Isle of Man;1.0;f
30197;100%;Micronesia;1.0;t
3939;90%;;3.0;f
48605;100%;Niue;3.0;t
35803;100%;Jersey;2.0;f
27316;100%;Puerto Rico;5.0;f
9748;;;1.0;f
38074;;Niue;1.0;f
13295;100%;Denmark;4.0;f
27316;100%;Puerto Rico;5.0;f
33503;;Anguilla;1.0;t
20272;;Jersey;1.0;f
46217;100%;United Kingdom;4.0;f
28454;100%;Kiribati;3.0;f
21101;100%;Holy See (Vatican City State);1.0;f
22358;;Vanuatu;3.0;f
43807;100%;Palestinian Territory;4.0;f
43807;100%;Palestinian Territory;4.0;f
43807;100%;Palestinian Territory;4.0;f
26729;;Kiribati;2.0;f
15120;100%;El Salvador;1.0;f
21248;;Guinea;1.0;f
35634;;Costa Rica;1.0;f
45819;50%;Gambia;1.0;f
44581;100%;Niger;2.0;f
34753;100%;El Salvador;1.0;t
3686;;United Kingdom;1.0;f
47844;100%;Kiribati;3.0;t
47152;;Isle of Man;2.0;f
34510;100%;Jersey;2.0;t
45987;100%;Jersey;6.0;t
45987;100%;Jersey;6.0;t
46132;100%;Croatia;1.0;t
20649;;;1.0;t
1539;100%;Micronesia;3.0;f
15926;;Russian Federation;1.0;t
16661;100%;Russian Federation;2.0;t
2580;;Uzbekistan;1.0;t
13458;;Lebanon;1.0;t
36524;100%;Saint Helena;8.0;t
37740;;Turkmenistan;1.0;f
4306;83%;China;3.0;f
3877;100%;Monaco;1.0;f
44913;100%;Russian Federation;2.0;f
41712;80%;Zimbabwe;2.0;t
10079;100%;Rwanda;1.0;f
27316;100%;Puerto Rico;5.0;f
23518;;Turks and Caicos Islands;1.0;f
33823;78%;France;17.0;t
16559;;Somalia;1.0;t
36985;100%;Kiribati;7.0;t
49208;100%;Guinea;1.0;f
39576;;Bouvet Island (Bouvetoya);1.0;f
43461;;Guinea;1.0;f
38718;;Uzbekistan;1.0;t
19806;60%;Papua New Guinea;1.0;f
19934;100%;Svalbard & Jan Mayen Islands;2.0;t
18734;100%;Niue;1.0;f
34301;;Turks and Caicos Islands;1.0;f
34296;;Kenya;3.0;f
1741;100%;Malawi;2.0;t
22324;100%;Venezuela;6.0;t
1874;;Uzbekistan;1.0;t
24938;;Barbados;2.0;f
44408;100%;Peru;3.0;f
42262;;Turkmenistan;1.0;f
932;100%;Indonesia;2.0;f
13767;100%;Ukraine;1.0;t
8896;100%;Russian Federation;2.0;t
36497;100%;Niue;2.0;t
4138;;Gambia;1.0;f
8945;;Guinea;1.0;f
9412;;Uganda;2.0;f
9412;;Uganda;2.0;f
14063;100%;Denmark;10.0;t
30934;100%;Malta;1.0;t
10865;88%;Isle of Man;2.0;t
8616;53%;Canada;4.0;t
39630;83%;Senegal;1.0;t
10670;50%;Russian Federation;1.0;t
3075;;Turks and Caicos Islands;2.0;t
40523;;French Guiana;1.0;t
22017;50%;Barbados;2.0;f
19362;100%;Nauru;1.0;t
846;90%;Marshall Islands;1.0;t
32689;100%;;1.0;f
2512;;Cape Verde;6.0;t
3131;100%;Tanzania;3.0;f
8584;100%;Costa Rica;7.0;t
3396;;Chad;4.0;t
1082;;Denmark;1.0;f
37611;;Turkmenistan;1.0;t
19028;;Turkmenistan;1.0;t
7347;100%;Lebanon;2.0;f
47550;100%;Guinea;4.0;t
4167;100%;Niue;1.0;t
16587;;Cocos (Keeling) Islands;2.0;f
5307;100%;Zimbabwe;3.0;t
25348;100%;Suriname;2.0;f
10212;;Turkmenistan;2.0;f
10212;;Turkmenistan;2.0;f
11276;100%;Nicaragua;1.0;t
14629;;Bosnia and Herzegovina;2.0;t
14629;;Bosnia and Herzegovina;2.0;t
22404;100%;French Guiana;1.0;t
103;100%;Brazil;1.0;t
24633;;Chad;3.0;t
28479;40%;Uzbekistan;1.0;t
1854;100%;Senegal;1.0;f
41656;100%;Gambia;4.0;t
4401;100%;Guinea;1.0;f
24861;100%;Rwanda;1.0;t
24765;0%;Tanzania;4.0;t
30216;98%;Maldives;34.0;f
30216;98%;Maldives;34.0;f
15889;80%;Finland;1.0;t
24765;0%;Tanzania;4.0;t
24765;0%;Tanzania;4.0;t
5499;;Kenya;1.0;f
33438;;Chad;1.0;t
37653;100%;Marshall Islands;1.0;t
42439;100%;Cape Verde;3.0;t
2152;;Lebanon;1.0;t
23029;100%;Anguilla;1.0;f
21840;;Lebanon;1.0;t
41431;100%;Nicaragua;2.0;f
46691;90%;Uzbekistan;38.0;f
21035;100%;El Salvador;1.0;t
39657;100%;;2.0;t
17310;;Lebanon;1.0;t
12186;;Croatia;1.0;t
42489;100%;Tonga;3.0;f
44977;100%;;1.0;t
31381;100%;Niue;2.0;f
31381;100%;Niue;2.0;f
41431;100%;Nicaragua;2.0;f
15477;;;1.0;t
45932;0%;Peru;1.0;f
28732;100%;Kenya;1.0;t
49839;90%;Malta;2.0;f
34885;100%;Moldova;1.0;t
28269;100%;Anguilla;2.0;t
12745;100%;Congo;2.0;f
2199;100%;Faroe Islands;1.0;f
31474;100%;Senegal;1.0;t
38249;100%;Holy See (Vatican City State);1.0;f
18961;;Kiribati;2.0;f
35346;100%;;1.0;f
49791;30%;Faroe Islands;2.0;f
24713;;Lebanon;1.0;t
10009;;French Polynesia;1.0;f
24246;100%;Croatia;2.0;t
2115;100%;Jersey;2.0;t
2115;100%;Jersey;2.0;t
42026;100%;;1.0;t
39416;;;1.0;f
41173;80%;Nicaragua;1.0;f
23956;100%;Sao Tome and Principe;1.0;f
29872;;Gibraltar;2.0;t
9295;100%;Nauru;2.0;f
9527;;Denmark;1.0;t
15760;90%;Isle of Man;1.0;f
45447;;;1.0;f
41207;100%;Svalbard & Jan Mayen Islands;1.0;t
29494;56%;;2.0;t
29494;56%;;2.0;t
8429;100%;Cape Verde;2.0;t
30365;100%;;1.0;t
35320;;;1.0;t
26402;100%;Barbados;1.0;t
11024;;Kenya;1.0;f
40245;;;1.0;f
21324;;Bouvet Island (Bouvetoya);1.0;f
27401;100%;;1.0;f
15515;100%;Jersey;1.0;t
17451;50%;;1.0;f
49316;100%;Chad;1.0;t
20801;;Faroe Islands;2.0;f
1769;;Chile;2.0;t
4464;90%;Faroe Islands;2.0;t
44185;0%;Turkmenistan;1.0;t
16946;100%;Philippines;2.0;t
43313;;;1.0;f
26730;;;1.0;f
19141;;Indonesia;1.0;t
30404;100%;Niue;3.0;t
30404;100%;Niue;3.0;t
22856;;Sao Tome and Principe;2.0;t
11338;;Sao Tome and Principe;1.0;f
22030;100%;French Guiana;3.0;t
28391;100%;Kiribati;1.0;t
23838;;;1.0;f
31871;100%;Uzbekistan;1.0;t
37632;100%;Costa Rica;2.0;f
30578;;;1.0;f
18476;;;1.0;f
4120;100%;Zimbabwe;1.0;t
33427;100%;Switzerland;5.0;t
33427;100%;Switzerland;5.0;t
42693;86%;;1.0;t
31449;100%;;1.0;t
34822;;Sao Tome and Principe;1.0;f
35401;;;1.0;f
10543;100%;Pakistan;1.0;t
23125;100%;Nicaragua;2.0;t
14700;100%;Montserrat;3.0;f
14700;100%;Montserrat;3.0;f
177;90%;Svalbard & Jan Mayen Islands;1.0;f
28767;;Afghanistan;1.0;f
7279;100%;France;1.0;t
20297;80%;Montserrat;17.0;f
20976;;Jersey;2.0;f
20976;;Jersey;2.0;f
47358;100%;Mexico;2.0;t
31011;;;1.0;f
18327;100%;Palestinian Territory;2.0;t
38159;100%;;1.0;f
19668;100%;Canada;1.0;t
42428;100%;Uganda;2.0;f
38742;;Malta;1.0;f
27429;100%;Tonga;1.0;f
49221;;;2.0;f
41656;100%;Gambia;4.0;t
15619;;Denmark;2.0;f
2284;;Turks and Caicos Islands;1.0;f
40418;70%;Micronesia;1.0;t
22074;;Jersey;1.0;f
2564;91%;Uzbekistan;2.0;f
43265;100%;Anguilla;3.0;f
29235;100%;Malta;6.0;f
48879;100%;Russian Federation;1.0;t
36636;100%;Kiribati;1.0;f
8495;100%;San Marino;3.0;f
35043;100%;Niger;1.0;t
11887;;Isle of Man;2.0;f
39761;100%;Ecuador;2.0;t
47358;100%;Mexico;2.0;t
9367;;Lebanon;1.0;f
16273;;Lebanon;1.0;t
2526;100%;Brazil;1.0;f
9359;;Kiribati;1.0;f
47328;;Gambia;1.0;f
18842;;Kiribati;1.0;f
33626;;Monaco;1.0;t
17574;;Lebanon;1.0;t
29407;100%;Niue;1.0;f
11793;;Estonia;1.0;f
37662;100%;Kenya;2.0;t
14149;100%;Wallis and Futuna;1.0;t
3597;;;1.0;f
26216;;Bosnia and Herzegovina;4.0;t
34056;;Moldova;1.0;t
15504;0%;Rwanda;2.0;t
31852;;Jersey;1.0;t
18495;100%;Russian Federation;2.0;f
38354;100%;Niue;3.0;f
6883;100%;Niue;1.0;t
31659;;Svalbard & Jan Mayen Islands;1.0;t
3016;;Malta;1.0;f
22504;100%;Zimbabwe;1.0;t
39977;;Lebanon;1.0;t
34587;;Isle of Man;22.0;t
34587;;Isle of Man;22.0;t
47320;100%;Niue;1.0;t
37791;90%;Marshall Islands;3.0;f
10195;100%;Croatia;1.0;t
25988;100%;Russian Federation;2.0;f
44672;;France;1.0;f
7802;100%;Anguilla;1.0;t
37025;;Kenya;1.0;f
12745;100%;Congo;2.0;f
37117;100%;Slovakia (Slovak Republic);2.0;t
43516;;Monaco;1.0;f
33956;100%;Lebanon;1.0;t
10350;100%;Lithuania;2.0;t
2837;;Chile;1.0;f
46282;100%;Turks and Caicos Islands;1.0;f
45152;;;1.0;f
47312;;;1.0;f
44564;100%;Svalbard & Jan Mayen Islands;2.0;t
10702;;Turkmenistan;1.0;f
6870;;Faroe Islands;1.0;f
28860;100%;Lebanon;6.0;t
49822;;El Salvador;1.0;f
24433;0%;Estonia;1.0;f
20592;100%;Uzbekistan;2.0;t
6364;;Russian Federation;1.0;f
36255;100%;Uzbekistan;2.0;t
36255;100%;Uzbekistan;2.0;t
30846;;Nicaragua;1.0;t
198;100%;Philippines;1.0;t
17728;;Lebanon;1.0;f
25473;;Niue;1.0;f
19312;;Costa Rica;1.0;t
26438;;Micronesia;1.0;f
32888;90%;Cocos (Keeling) Islands;1.0;f
21457;100%;Russian Federation;4.0;t
45393;;Bosnia and Herzegovina;1.0;t
20516;100%;Jersey;6.0;t
3052;;Mauritania;3.0;f
3052;;Mauritania;3.0;f
3052;;Mauritania;3.0;f
33781;;Guinea;5.0;t
19984;100%;Ecuador;14.0;t
17650;100%;Tanzania;1.0;f
35625;98%;Estonia;25.0;t
33142;100%;Cape Verde;10.0;f
33142;100%;Cape Verde;10.0;f
44619;100%;Finland;1.0;f
22780;100%;Kenya;2.0;t
1795;;French Guiana;1.0;f
31566;;Sao Tome and Principe;1.0;t
21359;;Mauritania;2.0;t
